from,to,weight,relation,favorite,friendship
Spielerin1,Spielerin10,1,Mitspielerin,0,1
Spielerin1,Spielerin9,1,Mitspielerin,0,1
Spielerin1,Spielerin6,1,Mitspielerin,0,1
Spielerin1,Spielerin8,1,Mitspielerin,1,0
Spielerin2,Spielerin7,1,Mitspielerin,0,1
Spielerin2,Spielerin8,1,Mitspielerin,1,0
Spielerin2,Spielerin8,1,Mitspielerin,0,1
Spielerin3,Spielerin2,4,Mitspielerin,0,1
Spielerin3,Spielerin4,1,Mitspielerin,0,1
Spielerin3,Spielerin6,1,Mitspielerin,0,1
Spielerin3,Spielerin1,1,Mitspielerin,0,1
Spielerin3,Spielerin6,1,Mitspielerin,1,0
Spielerin4,Spielerin6,1,Mitspielerin,1,0
Spielerin4,Spielerin6,1,Mitspielerin,0,1
Spielerin4,Spielerin7,1,Mitspielerin,0,1
Spielerin4,Spielerin12,1,Mitspielerin,0,1
Spielerin5,Spielerin11,1,Mitspielerin,1,0
Spielerin5,Spielerin11,1,Mitspielerin,0,1
Spielerin5,Spielerin7,1,Mitspielerin,0,1
Spielerin5,Spielerin3,1,Mitspielerin,0,1
Spielerin6,Spielerin4,1,Mitspielerin,1,0
Spielerin6,Spielerin4,1,Mitspielerin,0,1
Spielerin6,Spielerin7,1,Mitspielerin,0,1
Spielerin6,Spielerin1,1,Mitspielerin,0,1
Spielerin8,Spielerin1,1,Mitspielerin,1,0
Spielerin8,Spielerin2,1,Mitspielerin,0,1
