from,to,weight,relation,instrumental,medical,financial,emotional,favorite,friendship
SpielerA,Bekannter1,5,Vater,1,0,0,0,0,0
SpielerA,Bekannter1,5,Vater,0,1,0,0,0,0
SpielerA,Bekannter1,5,Vater,0,0,1,0,0,0
SpielerA,Bekannter1,5,Vater,0,0,0,1,0,0
SpielerA,Bekannter2,3,Großvater,1,0,0,0,0,0
SpielerA,Bekannter2,3,Großvater,0,0,0,1,0,0
SpielerA,Bekannter3,5,Mutter,0,0,0,1,0,0
SpielerB,Bekannter4,3,Freund,0,0,0,1,0,0
SpielerB,Bekannter5,2,Freund,0,0,0,1,0,0
SpielerB,Bekannter6,1,Freundin,0,0,0,1,0,0
SpielerC,SpielerH,5,Mitspieler,0,0,0,1,0,0
SpielerC,Bekannter7,5,Mutter,1,0,0,0,0,0
SpielerC,Bekannter7,5,Mutter,0,1,0,0,0,0
SpielerC,Bekannter7,5,Mutter,0,0,1,0,0,0
SpielerC,Bekannter7,5,Mutter,0,0,0,1,0,0
SpielerC,Bekannter8,5,Vater,1,0,0,0,0,0
SpielerC,Bekannter8,5,Vater,0,1,0,0,0,0
SpielerC,Bekannter8,5,Vater,0,0,1,0,0,0
SpielerC,Bekannter8,5,Vater,0,0,0,1,0,0
SpielerC,Bekannter9,5,Bruder,0,0,0,1,0,0
SpielerD,Bekannter10,5,Vater,1,0,0,0,0,0
SpielerD,Bekannter10,5,Vater,0,1,0,0,0,0
SpielerD,Bekannter10,5,Vater,0,0,1,0,0,0
SpielerD,Bekannter10,5,Vater,0,0,0,1,0,0
SpielerD,Bekannter11,5,Mutter,1,0,0,0,0,0
SpielerD,Bekannter11,5,Mutter,0,1,0,0,0,0
SpielerD,Bekannter11,5,Mutter,0,0,1,0,0,0
SpielerD,Bekannter11,5,Mutter,0,0,0,1,0,0
SpielerD,Bekannter12,2,Patenonkel,0,0,0,1,0,0
SpielerE,SpielerK,5,Bruder,1,0,0,0,0,0
SpielerE,SpielerK,5,Bruder,0,1,0,0,0,0
SpielerE,SpielerK,5,Bruder,0,0,0,1,0,0
SpielerE,Bekannter13,4,Vater,1,0,0,0,0,0
SpielerE,Bekannter13,4,Vater,0,1,0,0,0,0
SpielerE,Bekannter13,4,Vater,0,0,1,0,0,0
SpielerE,Bekannter13,4,Vater,0,0,0,1,0,0
SpielerE,Bekannter14,5,Mutter,1,0,0,0,0,0
SpielerE,Bekannter14,5,Mutter,0,0,1,0,0,0
